Survived,Age,SibSp,Parch,Fare,Cabin,Pclass_1,Pclass_2,Pclass_3,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,22.0,1,0,7.25,Unknown,False,False,True,True,False,False,True
1,38.0,1,0,71.2833,C85,True,False,False,False,True,False,False
1,26.0,0,0,7.925,Unknown,False,False,True,False,False,False,True
1,35.0,1,0,53.1,C123,True,False,False,False,False,False,True
0,35.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,29.69911764705882,0,0,8.4583,Unknown,False,False,True,True,False,True,False
0,54.0,0,0,51.8625,E46,True,False,False,True,False,False,True
0,2.0,3,1,21.075,Unknown,False,False,True,True,False,False,True
1,27.0,0,2,11.1333,Unknown,False,False,True,False,False,False,True
1,14.0,1,0,30.0708,Unknown,False,True,False,False,True,False,False
1,4.0,1,1,16.7,G6,False,False,True,False,False,False,True
1,58.0,0,0,26.55,C103,True,False,False,False,False,False,True
0,20.0,0,0,8.05,Unknown,False,False,True,True,False,False,True
0,39.0,1,5,31.275,Unknown,False,False,True,True,False,False,True
0,14.0,0,0,7.8542,Unknown,False,False,True,False,False,False,True
1,55.0,0,0,16.0,Unknown,False,True,False,False,False,False,True
0,2.0,4,1,29.125,Unknown,False,False,True,True,False,True,False
1,29.69911764705882,0,0,13.0,Unknown,False,True,False,True,False,False,True
0,31.0,1,0,18.0,Unknown,False,False,True,False,False,False,True
1,29.69911764705882,0,0,7.225,Unknown,False,False,True,False,True,False,False
0,35.0,0,0,26.0,Unknown,False,True,False,True,False,False,True
1,34.0,0,0,13.0,D56,False,True,False,True,False,False,True
1,15.0,0,0,8.0292,Unknown,False,False,True,False,False,True,False
1,28.0,0,0,35.5,A6,True,False,False,True,False,False,True
0,8.0,3,1,21.075,Unknown,False,False,True,False,False,False,True
1,38.0,1,5,31.3875,Unknown,False,False,True,False,False,False,True
0,29.69911764705882,0,0,7.225,Unknown,False,False,True,True,True,False,False
0,19.0,3,2,263.0,C23 C25 C27,True,False,False,True,False,False,True
1,29.69911764705882,0,0,7.8792,Unknown,False,False,True,False,False,True,False
0,29.69911764705882,0,0,7.8958,Unknown,False,False,True,True,False,False,True
0,40.0,0,0,27.7208,Unknown,True,False,False,True,True,False,False
1,29.69911764705882,1,0,146.5208,B78,True,False,False,False,True,False,False
1,29.69911764705882,0,0,7.75,Unknown,False,False,True,False,False,True,False
0,66.0,0,0,10.5,Unknown,False,True,False,True,False,False,True
