Survived,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_male,Embarked_C,Embarked_Q,Embarked_S,G,F,C,T,B,Unknown,D,E,A
0,22.0,1,0,7.25,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,38.0,1,0,71.2833,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1,26.0,0,0,7.925,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,35.0,1,0,53.1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,35.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,29.69911764705882,0,0,8.4583,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
0,54.0,0,0,51.8625,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
0,2.0,3,1,21.075,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
1,27.0,0,2,11.1333,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,14.0,1,0,30.0708,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1,4.0,1,1,16.7,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
1,58.0,0,0,26.55,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0,20.0,0,0,8.05,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,39.0,1,5,31.275,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
0,14.0,0,0,7.8542,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,55.0,0,0,16.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,2.0,4,1,29.125,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,31.0,1,0,18.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,29.69911764705882,0,0,7.225,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,35.0,0,0,26.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,34.0,0,0,13.0,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
1,15.0,0,0,8.0292,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1,28.0,0,0,35.5,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,8.0,3,1,21.075,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
